"","id","kistelepules","total","fidesz","ellenzek","is_fidesz","is_ellenzek","megyeid","megye","telepid","telep","oevk","szavazokor","ervenyes","ervenytelen","part","values"
"92","gálosfa-001",1,2,0,1,0,"van ellenzéki",15,"SOMOGY",59,"Gálosfa",1,"001",119,0.00833333333333333,"fidesz",0.791666666666667
"93","garé-001",1,2,1,0,1,"nincs ellenzéki",2,"BARANYA",77,"Garé",4,"001",167,0.0290697674418605,"fidesz",0.424418604651163
"94","gasztony-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",45,"Gasztony",3,"001",240,0.004149377593361,"fidesz",0.734439834024896
"95","gelénes-001",1,2,1,0,1,"nincs ellenzéki",16,"SZABOLCS-SZATMÁR-BEREG",43,"Gelénes",4,"001",288,0.0170648464163823,"fidesz",0.764505119453925
"96","gerényes-001",1,2,0,1,0,"van ellenzéki",2,"BARANYA",80,"Gerényes",4,"001",80,0.024390243902439,"fidesz",0.658536585365854
"97","gerjen-001",1,2,1,0,1,"nincs ellenzéki",17,"TOLNA",31,"Gerjen",3,"001",607,0.00654664484451719,"fidesz",0.639934533551555
"98","gersekarát-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",47,"Gersekarát",3,"001",384,0.0103092783505155,"fidesz",0.706185567010309
"99","göncruszka-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",114,"Göncruszka",5,"001",268,0.0147058823529412,"fidesz",0.613970588235294
"100","gosfa-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",65,"Gosfa",2,"001",164,0.00606060606060606,"fidesz",0.703030303030303
"101","grábóc-001",1,2,1,0,1,"nincs ellenzéki",17,"TOLNA",32,"Grábóc",2,"001",88,0.0112359550561798,"fidesz",0.719101123595506
"102","gyarmat-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",56,"Gyarmat",3,"001",793,0.00251572327044025,"fidesz",0.644025157232704
"103","gyöngyösfalu-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",51,"Gyöngyösfalu",2,"001",661,0.00750750750750751,"fidesz",0.558558558558559
"104","györe-001",1,2,1,0,1,"nincs ellenzéki",17,"TOLNA",34,"Györe",2,"001",337,0.00882352941176471,"fidesz",0.482352941176471
"105","gyorladamér-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",61,"Gyorladamér",5,"001",1011,0.00785083415112856,"fidesz",0.517173699705594
"106","gyügye-001",1,2,1,0,1,"nincs ellenzéki",16,"SZABOLCS-SZATMÁR-BEREG",52,"Gyügye",4,"001",154,0.0434782608695652,"fidesz",0.633540372670807
"107","gyulaj-001",1,2,1,0,1,"nincs ellenzéki",17,"TOLNA",36,"Gyulaj",2,"001",329,0.012012012012012,"fidesz",0.732732732732733
"108","hács-001",1,2,0,1,0,"van ellenzéki",15,"SOMOGY",66,"Hács",3,"001",175,0.0223463687150838,"fidesz",0.547486033519553
"109","halogy-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",54,"Halogy",3,"001",172,0.0114942528735632,"fidesz",0.747126436781609
"110","hangács-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",117,"Hangács",4,"001",290,0.0102389078498294,"fidesz",0.679180887372014
"111","harc-001",1,2,1,0,1,"nincs ellenzéki",17,"TOLNA",37,"Harc",2,"001",453,0.0109170305676856,"fidesz",0.552401746724891
"112","hásságy-001",1,2,1,0,1,"nincs ellenzéki",2,"BARANYA",90,"Hásságy",2,"001",179,0.0164835164835165,"fidesz",0.335164835164835
"113","hegyfalu-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",56,"Hegyfalu",2,"001",421,0.00707547169811321,"fidesz",0.57311320754717
"114","hegyháthodász-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",57,"Hegyháthodász",3,"001",112,0.00884955752212389,"fidesz",0.752212389380531
"115","hegyhátsál-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",58,"Hegyhátsál",3,"001",99,0.0198019801980198,"fidesz",0.712871287128713
"116","hegyhátszentmárton-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",60,"Hegyhátszentmárton",3,"001",44,0.0222222222222222,"fidesz",0.6
"117","hegyhátszentpéter-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",61,"Hegyhátszentpéter",3,"001",96,0.0103092783505155,"fidesz",0.701030927835051
"118","hegyszentmárton-001",1,2,1,0,1,"nincs ellenzéki",2,"BARANYA",92,"Hegyszentmárton",4,"001",198,0.0388349514563107,"fidesz",0.543689320388349
"119","hernyék-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",71,"Hernyék",1,"001",50,0.0384615384615385,"fidesz",0.442307692307692
"120","hetvehely-001",1,2,1,0,1,"nincs ellenzéki",2,"BARANYA",94,"Hetvehely",4,"001",235,0.0208333333333333,"fidesz",0.4625
"121","hevesaranyos-001",1,2,1,0,1,"nincs ellenzéki",10,"HEVES",49,"Hevesaranyos",2,"001",271,0.028673835125448,"fidesz",0.655913978494624
"122","hidegkút-001",1,2,1,0,1,"nincs ellenzéki",19,"VESZPRÉM",78,"Hidegkút",2,"001",255,0.0192307692307692,"fidesz",0.415384615384615
"123","homrogd-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",142,"Homrogd",4,"001",437,0.0090702947845805,"fidesz",0.535147392290249
"124","horvátzsidány-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",63,"Horvátzsidány",2,"001",488,0.00204498977505112,"fidesz",0.613496932515337
"125","hosszúvölgy-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",74,"Hosszúvölgy",3,"001",108,0.0181818181818182,"fidesz",0.527272727272727
"126","imola-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",144,"Imola",3,"001",61,0.0317460317460317,"fidesz",0.571428571428571
"127","ináncs-001",1,2,0,1,0,"van ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",145,"Ináncs",4,"001",591,0.0166389351081531,"fidesz",0.509151414309484
"128","iszkáz-001",1,2,1,0,1,"nincs ellenzéki",19,"VESZPRÉM",81,"Iszkáz",4,"001",184,0.010752688172043,"fidesz",0.897849462365591
"129","ivád-001",1,2,1,0,1,"nincs ellenzéki",10,"HEVES",53,"Ivád",2,"001",218,0.00909090909090909,"fidesz",0.581818181818182
"130","ivánbattyán-001",1,2,1,0,1,"nincs ellenzéki",2,"BARANYA",106,"Ivánbattyán",3,"001",63,0.015625,"fidesz",0.4375
"131","ivándárda-001",1,2,0,1,0,"van ellenzéki",2,"BARANYA",107,"Ivándárda",3,"001",133,0.0220588235294118,"fidesz",0.397058823529412
"132","izmény-001",1,2,0,1,0,"van ellenzéki",17,"TOLNA",40,"Izmény",2,"001",236,0.020746887966805,"fidesz",0.713692946058091
"133","jákfa-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",70,"Jákfa",2,"001",290,0.00684931506849315,"fidesz",0.544520547945205
"134","kalaznó-001",1,2,1,0,1,"nincs ellenzéki",17,"TOLNA",44,"Kalaznó",2,"001",69,0.0142857142857143,"fidesz",0.657142857142857
"135","kallósd-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",79,"Kallósd",2,"001",59,0.0327868852459016,"fidesz",0.754098360655738
"136","kánya-001",1,2,1,0,1,"nincs ellenzéki",15,"SOMOGY",97,"Kánya",4,"001",198,0.0050251256281407,"fidesz",0.698492462311558
"137","kaposkeresztúr-001",1,2,1,0,1,"nincs ellenzéki",15,"SOMOGY",87,"Kaposkeresztúr",1,"001",118,0.0483870967741935,"fidesz",0.604838709677419
"138","karakószörcsök-001",1,2,1,0,1,"nincs ellenzéki",19,"VESZPRÉM",85,"Karakószörcsök",4,"001",166,0.00598802395209581,"fidesz",0.682634730538922
"139","kárász-001",1,2,1,0,1,"nincs ellenzéki",2,"BARANYA",111,"Kárász",3,"001",167,0.0176470588235294,"fidesz",0.417647058823529
"140","katádfa-001",1,2,1,0,1,"nincs ellenzéki",2,"BARANYA",109,"Katádfa",4,"001",70,0.0140845070422535,"fidesz",0.816901408450704
"141","keléd-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",76,"Keléd",3,"001",39,0.0487804878048781,"fidesz",0.585365853658537
