"","id","kistelepules","csp","dk","együtt","fidesz","jobbik","kössz","lmp","mcp","mgoö","miép","mkkp","mnoö","momentum","mroö","mszp","munkáspárt","na","ohö","oszö","rend párt","sem","szem párt","total","ellenzek","is_fidesz","is_ellenzek","nem_fidesz"
"7941","szeged-104",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,4,1,1,4
"7942","szeged-105",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,1,1,2
"7943","szeged-106",0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,4,1,1,4
"7944","szeged-107",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,1,1,3
"7945","szeged-108",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,1,1,3
"7946","szeged-109",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,1,1,3
"7947","szeged-110",0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,1,1,3
"7948","szeged-111",0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,4,1,1,4
"7949","szeged-112",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,1,1,2
"7950","szeged-113",0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,1,1,3
"7951","szeged-114",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,1,1,2
"7952","szeged-115",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,1,1,3
"7953","szeged-116",0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,1,1,3
"7954","szeged-117",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,1,1,3
